,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
1,1993,19,0.1,Braves,GULF,Rk,ATL,31,135,124,17,43,14,0,0,27,5,0,5,13,.347,.393,.460,.852,57,5,5,0,1,0,dyeje01,1996.0,0.339
2,1993,19,-0.9,Danville,APPY,Rk,ATL,25,104,94,6,26,6,1,2,12,4,1,8,10,.277,.327,.426,.752,40,2,0,0,2,1,dyeje01,1996.0,0.339
3,1994,20,-1.3,Macon,SALL,A,ATL,135,555,506,73,151,41,1,15,98,19,10,33,82,.298,.346,.472,.818,239,10,8,0,8,1,dyeje01,1996.0,0.339
4,1995,21,-3.0,Greenville,SOUL,AA,ATL,104,437,403,50,115,26,4,15,71,4,8,27,74,.285,.329,.481,.810,194,9,1,2,4,2,dyeje01,1996.0,0.339
0,1994,21,1.1,Elizabethton,APPY,Rk,MIN,34,127,107,13,25,2,1,3,10,0,0,18,27,.234,.354,.355,.709,38,3,2,0,0,0,koskico01,1999.0,0.379
1,1995,22,0.4,Fort Wayne,MIDW,A,MIN,123,515,462,64,143,37,5,16,78,2,4,38,79,.310,.370,.515,.885,238,10,9,1,5,3,koskico01,1999.0,0.379
2,1996,23,0.7,Fort Myers,FLOR,A+,MIN,95,383,338,43,88,19,4,9,55,1,1,40,76,.260,.338,.420,.758,142,4,1,1,3,0,koskico01,1999.0,0.379
3,1997,24,0.2,New Britain,EL,AA,MIN,131,536,437,88,125,26,6,23,79,9,5,90,106,.286,.414,.531,.945,232,13,7,0,2,10,koskico01,1999.0,0.379
4,1998,25,-1.7,Salt Lake,PCL,AAA,MIN,135,574,505,91,152,32,5,26,105,15,7,51,104,.301,.368,.539,.906,272,17,8,0,10,4,koskico01,1999.0,0.379
0,1996,21,-1.3,Fort Myers,FLOR,A+,MIN,1,3,3,0,2,1,0,0,1,0,1,0,0,.667,.667,1.000,1.667,3,0,0,0,0,0,jonesja05,1999.0,0.351
1,1997,22,-0.6,Fort Myers,FLOR,A+,MIN,131,577,539,84,160,33,6,15,82,24,12,33,110,.297,.340,.464,.804,250,9,3,0,2,3,jonesja05,1999.0,0.351
2,1998,23,-0.8,New Britain,EL,AA,MIN,134,566,518,78,155,39,3,21,85,18,11,37,134,.299,.349,.508,.856,263,4,4,4,3,8,jonesja05,1999.0,0.351
0,1992,20,1.1,Twins,GULF,Rk,MIN,53,217,173,39,45,8,3,2,26,20,1,27,27,.260,.375,.376,.751,65,2,9,1,7,0,lawtoma02,1996.0,0.334
1,1993,21,-0.6,Fort Wayne,MIDW,A,MIN,111,415,340,50,97,21,3,9,38,23,15,65,42,.285,.410,.444,.854,151,8,8,0,2,3,lawtoma02,1996.0,0.334
2,1994,22,-0.4,Fort Myers,FLOR,A+,MIN,122,533,446,79,134,30,1,7,51,42,19,80,64,.300,.407,.419,.826,187,7,2,2,3,3,lawtoma02,1996.0,0.334
3,1995,23,-1.0,Hardware City,EL,AA,MIN,114,485,412,75,111,19,5,13,54,26,9,56,70,.269,.371,.434,.805,179,8,12,2,3,1,lawtoma02,1996.0,0.334
0,1994,18,-2.9,Southern Oregon,NORW,A-,OAK,72,316,252,44,83,13,0,7,50,2,2,51,48,.329,.456,.464,.920,117,6,10,0,3,7,grievbe01,1998.0,0.381
2,1995,19,-3.8,Modesto,CALL,A+,OAK,28,124,107,17,28,5,0,2,14,2,0,15,22,.262,.347,.364,.711,39,3,0,0,2,1,grievbe01,1998.0,0.381
3,1995,19,-2.6,West Michigan,MIDW,A,OAK,102,445,371,53,97,16,1,4,62,11,3,60,75,.261,.371,.342,.713,127,10,8,0,6,6,grievbe01,1998.0,0.381
5,1996,20,-3.9,Huntsville,SOUL,AA,OAK,63,272,232,34,55,8,1,8,32,0,3,35,53,.237,.338,.384,.722,89,3,2,0,3,5,grievbe01,1998.0,0.381
6,1996,20,-3.1,Modesto,CALL,A+,OAK,72,324,281,61,100,20,1,11,51,8,7,38,52,.356,.430,.552,.982,155,5,1,1,3,2,grievbe01,1998.0,0.381
8,1997,21,-5.5,Edmonton,PCL,AAA,OAK,27,123,108,27,46,11,1,7,28,0,1,12,16,.426,.484,.741,1.224,80,4,1,1,1,0,grievbe01,1998.0,0.381
9,1997,21,-3.4,Huntsville,SOUL,AA,OAK,100,466,372,100,122,29,2,24,108,5,1,81,75,.328,.455,.610,1.065,227,8,9,0,4,0,grievbe01,1998.0,0.381
0,1994,18,-0.8,Pirates,GULF,Rk,PIT,30,123,110,17,29,4,1,4,11,2,1,7,15,.264,.341,.427,.769,47,0,6,0,0,0,guilljo01,1997.0,0.326
2,1995,19,-2.3,Augusta,SALL,A,PIT,10,38,34,6,8,1,1,2,6,0,0,2,9,.235,.316,.500,.816,17,0,2,0,0,0,guilljo01,1997.0,0.326
3,1995,19,-2.1,Erie,NYPL,A-,PIT,66,281,258,41,81,17,1,12,46,1,5,10,44,.314,.367,.527,.894,136,5,12,0,1,0,guilljo01,1997.0,0.326
4,1996,20,-2.8,Lynchburg,CARL,A+,PIT,136,570,528,78,170,30,0,21,94,24,13,20,73,.322,.357,.498,.855,263,16,13,1,8,1,guilljo01,1997.0,0.326
0,1995,21,-0.3,Asheville,SALL,A,COL,54,227,201,24,51,11,1,1,15,1,1,25,32,.254,.339,.333,.673,67,7,1,0,0,1,heltoto01,1998.0,0.401
2,1996,22,-4.2,Colorado Springs,PCL,AAA,COL,21,82,71,13,25,4,1,2,13,0,0,11,12,.352,.439,.521,.960,37,3,0,0,0,0,heltoto01,1998.0,0.401
3,1996,22,-1.8,New Haven,EL,AA,COL,93,375,319,46,106,24,2,7,51,2,5,51,37,.332,.425,.486,.911,155,8,1,3,1,5,heltoto01,1998.0,0.401
4,1997,23,-3.5,Colorado Springs,PCL,AAA,COL,99,460,392,87,138,31,2,16,88,3,1,61,68,.352,.434,.564,.997,221,10,0,1,6,4,heltoto01,1998.0,0.401
0,1996,18,-0.9,Royals,GULF,Rk,KCR,7,21,20,1,1,1,0,0,1,0,2,0,6,.050,.095,.100,.195,2,0,1,0,0,0,brownde02,2001.0,0.293
1,1997,19,-1.7,Spokane,NORW,A-,KCR,73,339,298,67,97,20,6,13,73,17,4,38,65,.326,.404,.564,.968,168,5,2,0,1,5,brownde02,2001.0,0.293
2,1998,20,-2.6,Wilmington,CARL,A+,KCR,128,503,442,64,114,30,2,10,58,26,10,53,115,.258,.347,.403,.749,178,12,7,1,0,5,brownde02,2001.0,0.293
5,1999,21,-3.0,Wichita,TL,AA,KCR,65,276,235,58,83,14,3,12,56,10,8,35,41,.353,.440,.591,1.031,139,2,3,1,2,1,brownde02,2001.0,0.293
6,1999,21,-1.6,Wilmington,CARL,A+,KCR,61,269,221,49,68,10,2,13,46,20,8,44,56,.308,.431,.548,.979,121,10,4,0,0,6,brownde02,2001.0,0.293
8,2000,22,-4.9,Omaha,PCL,AAA,KCR,125,522,479,76,129,25,6,23,70,20,3,37,112,.269,.324,.491,.814,235,14,3,0,3,5,brownde02,2001.0,0.293
0,1986,22,0.1,Peoria,MIDW,A,CHC,126,537,465,81,159,30,4,15,95,6,5,60,28,.342,.417,.520,.937,242,,4,2,6,6,gracema01,1988.0,0.356
1,1987,23,-0.6,Pittsfield,EL,AA,CHC,123,513,453,81,151,29,8,17,101,5,5,48,24,.333,.394,.545,.939,247,,2,3,7,11,gracema01,1988.0,0.356
0,1995,18,-1.0,Royals,GULF,Rk,KCR,52,200,180,29,50,9,0,0,23,5,3,13,30,.278,.332,.328,.659,59,1,3,1,3,0,beltrca01,1999.0,0.359
2,1996,19,-2.6,Lansing,MIDW,A,KCR,11,43,42,3,6,2,0,0,0,1,0,1,11,.143,.163,.190,.353,8,0,0,0,0,0,beltrca01,1999.0,0.359
3,1996,19,-1.8,Spokane,NORW,A-,KCR,59,251,215,29,58,8,3,7,29,10,2,31,65,.270,.359,.433,.791,93,4,0,3,2,0,beltrca01,1999.0,0.359
4,1997,20,-2.4,Wilmington,CARL,A+,KCR,120,473,419,57,96,15,4,11,46,17,7,46,96,.229,.311,.363,.673,152,10,4,3,1,3,beltrca01,1999.0,0.359
6,1998,21,-3.1,Wichita,TL,AA,KCR,47,208,182,50,64,13,3,14,44,7,1,23,30,.352,.427,.687,1.114,125,4,1,2,0,3,beltrca01,1999.0,0.359
7,1998,21,-1.6,Wilmington,CARL,A+,KCR,52,220,192,32,53,14,0,5,32,11,7,25,39,.276,.364,.427,.791,82,2,2,0,1,0,beltrca01,1999.0,0.359
0,1991,18,-1.0,White Sox,GULF,Rk,CHW,44,158,136,20,30,3,0,0,11,13,2,17,29,.221,.325,.243,.567,33,3,4,1,0,0,camermi01,1997.0,0.365
2,1992,19,-2.5,South Bend,MIDW,A,CHW,35,132,114,19,26,8,1,1,9,2,3,10,37,.228,.310,.342,.652,39,0,4,3,1,0,camermi01,1997.0,0.365
3,1992,19,-1.9,Utica,NYPL,A-,CHW,28,100,87,15,24,1,4,2,12,3,7,11,26,.276,.354,.448,.802,39,0,0,1,1,0,camermi01,1997.0,0.365
4,1993,20,-1.6,South Bend,MIDW,A,CHW,122,451,411,52,98,14,5,0,30,19,10,27,101,.238,.292,.297,.589,122,8,6,2,5,0,camermi01,1997.0,0.365
5,1994,21,-1.1,Prince William,CARL,A+,CHW,131,538,468,86,116,15,17,6,48,22,10,60,101,.248,.343,.391,.734,183,6,8,2,0,2,camermi01,1997.0,0.365
6,1995,22,-2.0,Birmingham,SOUL,AA,CHW,107,419,350,64,87,20,5,11,60,21,12,54,104,.249,.355,.429,.784,150,9,6,5,4,0,camermi01,1997.0,0.365
8,1996,23,-0.9,Birmingham,SOUL,AA,CHW,123,563,473,120,142,34,12,28,77,39,15,71,117,.300,.402,.600,1.002,284,5,12,3,4,6,camermi01,1997.0,0.365
0,1999,21,-0.5,Delmarva,SALL,A,BAL,47,201,167,22,40,12,1,0,21,17,5,27,42,.240,.347,.323,.670,54,0,1,5,1,0,roberbr01,2001.0,0.282
2,2000,22,-0.6,Frederick,CARL,A+,BAL,48,198,163,27,49,6,3,0,16,13,10,27,24,.301,.403,.374,.777,61,4,1,7,0,1,roberbr01,2001.0,0.282
3,2000,22,2.8,Orioles,GULF,Rk,BAL,9,37,29,8,9,1,2,1,3,7,1,7,4,.310,.432,.586,1.019,17,0,0,0,1,0,roberbr01,2001.0,0.282
1,1985,22,-1.4,Tulsa,TL,AA,TEX,46,193,165,24,51,10,0,3,17,6,2,24,18,.309,.401,.424,.825,70,,2,1,1,0,stanlmi02,1987.0,0.347
2,1985,22,0.2,Burlington,MIDW,A,TEX,13,49,42,8,13,2,0,1,6,0,1,6,5,.310,.388,.429,.816,18,,0,0,1,0,stanlmi02,1987.0,0.347
3,1985,22,-0.1,Salem,CARL,A,TEX,4,10,9,2,5,0,0,0,3,0,0,1,1,.556,.600,.556,1.156,5,,0,0,0,0,stanlmi02,1987.0,0.347
5,1986,23,-3.0,Oklahoma City,AA,AAA,TEX,56,249,202,37,74,13,3,5,49,1,1,44,42,.366,.480,.535,1.014,108,,1,1,1,0,stanlmi02,1987.0,0.347
6,1986,23,-0.9,Tulsa,TL,AA,TEX,67,276,235,41,69,16,2,6,35,5,3,34,26,.294,.382,.455,.837,107,,2,1,4,1,stanlmi02,1987.0,0.347
1,1991,21,-2.7,Orlando,SOUL,AA,MIN,28,100,88,18,23,4,0,3,11,0,1,10,20,.261,.350,.409,.759,36,1,2,0,0,0,mccarda01,1993.0,0.26
2,1991,21,-1.9,Visalia,CALL,A+,MIN,15,66,50,16,19,3,0,3,8,3,1,13,7,.380,.530,.620,1.150,31,0,3,0,0,0,mccarda01,1993.0,0.26
4,1992,22,-4.5,Portland,PCL,AAA,MIN,7,33,26,7,13,2,0,1,8,1,0,5,3,.500,.594,.692,1.286,18,1,1,1,0,0,mccarda01,1993.0,0.26
5,1992,22,-1.9,Orlando,SOUL,AA,MIN,129,526,456,75,124,16,2,18,79,6,6,55,89,.272,.356,.434,.790,198,8,8,1,6,5,mccarda01,1993.0,0.26
1,1993,22,-0.3,Fort Lauderdale,FLOR,A+,BOS,44,174,156,14,38,1,1,2,21,1,1,13,26,.244,.299,.301,.600,47,6,1,0,4,1,merlolo01,1999.0,0.304
2,1993,22,3.1,Red Sox,GULF,Rk,BOS,4,16,14,4,5,1,0,0,1,1,1,1,1,.357,.438,.429,.866,6,0,1,0,0,0,merlolo01,1999.0,0.304
3,1994,23,0.6,Sarasota,FLOR,A+,BOS,113,479,419,59,120,16,2,1,63,5,2,36,57,.286,.345,.341,.687,143,11,7,7,10,4,merlolo01,1999.0,0.304
4,1995,24,0.0,Trenton,EL,AA,BOS,93,381,318,42,88,16,1,1,30,7,7,39,50,.277,.373,.343,.716,109,1,11,11,2,3,merlolo01,1999.0,0.304
6,1996,25,-1.5,Pawtucket,IL,AAA,BOS,38,132,115,19,29,6,0,1,12,0,1,10,20,.252,.328,.330,.659,38,1,3,4,0,0,merlolo01,1999.0,0.304
7,1996,25,1.2,Trenton,EL,AA,BOS,28,110,95,11,22,6,1,3,16,0,2,9,18,.232,.330,.411,.741,39,2,5,1,0,1,merlolo01,1999.0,0.304
8,1996,25,6.1,Red Sox,GULF,Rk,BOS,1,5,4,1,1,0,0,0,1,0,0,0,0,.250,.200,.250,.450,1,0,0,0,1,0,merlolo01,1999.0,0.304
10,1997,26,-0.2,Pawtucket,IL,AAA,BOS,49,186,165,24,49,10,0,5,24,0,2,15,20,.297,.368,.448,.816,74,4,4,1,1,2,merlolo01,1999.0,0.304
11,1997,26,2.2,Trenton,EL,AA,BOS,69,302,255,49,79,17,4,5,37,3,2,30,43,.310,.402,.467,.869,119,2,12,1,4,1,merlolo01,1999.0,0.304
13,1998,27,0.7,Pawtucket,IL,AAA,BOS,27,113,88,17,34,3,1,8,22,2,2,16,13,.386,.518,.716,1.234,63,2,8,1,0,0,merlolo01,1999.0,0.304
14,1998,27,7.7,Red Sox,GULF,Rk,BOS,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,merlolo01,1999.0,0.304
0,1997,21,-4.8,St. Paul,NORL,Ind,,44,203,170,51,58,6,1,18,50,5,3,30,40,.341,.443,.706,1.149,120,1,2,0,1,0,drewj.01,1999.0,0.36
2,1998,22,-4.7,Memphis,PCL,AAA,STL,26,102,79,15,25,8,1,2,13,1,3,22,18,.316,.471,.519,.990,41,1,1,0,0,0,drewj.01,1999.0,0.36
3,1998,22,-2.1,Arkansas,TL,AA,STL,19,81,67,18,22,3,1,5,11,2,1,13,15,.328,.444,.627,1.071,42,0,1,0,0,1,drewj.01,1999.0,0.36
4,1998,22,-3.8,St. Paul,NORL,Ind,,30,141,114,27,44,11,2,9,33,8,1,21,32,.386,.504,.754,1.258,86,2,6,0,0,5,drewj.01,1999.0,0.36
0,1994,22,1.0,Jamestown,NYPL,A-,DET,65,266,235,37,70,18,6,5,41,9,7,23,32,.298,.365,.489,.854,115,1,4,0,4,0,trammbu01,1998.0,0.399
1,1995,23,0.7,Lakeland,FLOR,A+,DET,122,510,454,61,129,32,3,16,72,13,3,48,80,.284,.355,.474,.828,215,9,4,0,4,2,trammbu01,1998.0,0.399
3,1996,24,-2.5,Toledo,IL,AAA,DET,51,203,180,32,53,14,1,6,24,5,1,22,44,.294,.369,.483,.853,87,1,0,0,1,1,trammbu01,1998.0,0.399
4,1996,24,0.1,Jacksonville,SOUL,AA,DET,83,352,311,63,102,23,2,27,75,3,2,32,61,.328,.403,.675,1.079,210,11,8,0,1,6,trammbu01,1998.0,0.399
5,1997,25,-1.2,Toledo,IL,AAA,DET,90,366,319,56,80,15,1,28,75,2,2,38,91,.251,.336,.567,.903,181,1,5,0,4,1,trammbu01,1998.0,0.399
0,1992,18,-0.9,Yankees,GULF,Rk,NYY,53,244,194,37,53,10,3,1,20,21,6,42,49,.273,.417,.371,.788,72,2,6,2,0,0,riverru01,1998.0,0.331
1,1993,19,-2.0,Oneonta,NYPL,A-,NYY,55,240,199,45,55,7,6,13,47,12,5,32,66,.276,.385,.568,.953,113,2,5,1,3,1,riverru01,1998.0,0.331
3,1994,20,-2.4,Tampa,FLOR,A+,NYY,34,143,134,18,35,4,3,5,20,12,5,8,38,.261,.308,.448,.755,60,7,1,0,0,0,riverru01,1998.0,0.331
4,1994,20,-1.3,Greensboro,SALL,A,NYY,105,457,400,83,115,24,3,28,81,36,5,47,125,.288,.372,.573,.944,229,6,8,0,2,1,riverru01,1998.0,0.331
6,1995,21,-5.4,Columbus,IL,AAA,NYY,48,204,174,37,47,8,2,15,35,8,4,26,62,.270,.373,.598,.970,104,5,3,0,1,0,riverru01,1998.0,0.331
7,1995,21,-3.0,Norwich,EL,AA,NYY,71,306,256,49,75,16,8,9,39,16,8,37,77,.293,.402,.523,.925,134,4,11,0,2,2,riverru01,1998.0,0.331
9,1996,22,-4.5,Columbus,IL,AAA,NYY,101,412,362,59,85,20,4,10,46,15,10,40,96,.235,.324,.395,.719,143,4,8,1,1,4,riverru01,1998.0,0.331
12,1997,23,-3.5,Las Vegas,PCL,AAA,SDP,12,50,48,6,12,5,1,1,6,1,0,1,20,.250,.280,.458,.738,22,0,1,0,0,0,riverru01,1998.0,0.331
13,1997,23,0.1,Rancho Cucamonga,CALL,A+,SDP,6,27,23,6,4,1,0,1,3,1,0,3,9,.174,.259,.348,.607,8,0,0,0,1,0,riverru01,1998.0,0.331
1,1983,18,-3.5,Quad Cities,MIDW,A,CHC,44,148,119,17,29,6,2,0,10,10,8,26,30,.244,.378,.328,.706,39,,1,0,2,0,martida01,1987.0,0.358
2,1983,18,-2.9,Geneva,NYPL,A-,CHC,64,284,241,35,63,15,2,5,33,16,6,40,52,.261,.364,.402,.766,97,,0,1,2,1,martida01,1987.0,0.358
3,1984,19,-2.7,Quad Cities,MIDW,A,CHC,12,51,41,6,9,2,2,0,5,3,4,9,13,.220,.373,.366,.738,15,,1,0,0,0,martida01,1987.0,0.358
4,1985,20,-2.1,Winston-Salem,CARL,A,CHC,115,454,386,52,132,14,4,5,54,38,14,62,35,.342,.435,.438,.873,169,,3,1,2,5,martida01,1987.0,0.358
5,1986,21,-5.0,Iowa,AA,AAA,CHC,83,362,318,52,92,11,5,5,32,42,5,36,34,.289,.360,.403,.763,128,,1,4,3,1,martida01,1987.0,0.358
0,1986,17,-3.3,Helena,PION,Rk,MIL,57,253,222,53,81,12,2,15,71,14,4,20,14,.365,.413,.640,1.052,142,,3,1,7,2,sheffga01,1989.0,0.303
1,1987,18,-4.7,Stockton,CALL,A,MIL,129,570,469,84,130,23,3,17,103,25,15,81,48,.277,.388,.448,.836,210,,8,6,6,8,sheffga01,1989.0,0.303
3,1988,19,-7.3,Denver,AA,AAA,MIL,57,244,212,42,73,9,5,9,54,8,4,21,22,.344,.407,.561,.969,119,,5,1,5,1,sheffga01,1989.0,0.303
4,1988,19,-4.9,El Paso,TL,AA,MIL,77,343,296,70,93,19,3,19,65,5,4,35,41,.314,.386,.591,.978,175,9,3,4,5,0,sheffga01,1989.0,0.303
0,1994,17,-1.8,Braves,GULF,Rk,ATL,33,106,100,9,24,5,0,2,12,0,0,1,13,.240,.267,.350,.617,35,1,3,1,1,0,lunarfe01,2001.0,0.275
2,1995,18,-3.3,Macon,SALL,A,ATL,39,150,134,13,24,2,0,0,9,1,0,10,38,.179,.252,.194,.446,26,3,3,3,0,0,lunarfe01,2001.0,0.275
3,1995,18,-2.7,Eugene,NORW,A-,ATL,38,142,131,13,32,6,0,2,16,0,1,9,28,.244,.293,.336,.629,44,2,0,2,0,0,lunarfe01,2001.0,0.275
4,1996,19,-2.2,Macon,SALL,A,ATL,104,380,343,33,63,9,0,7,33,3,2,20,65,.184,.252,.271,.523,93,11,12,3,2,0,lunarfe01,2001.0,0.275
5,1997,20,-1.5,Macon,SALL,A,ATL,105,406,380,41,99,26,2,7,37,0,1,18,42,.261,.302,.395,.697,150,11,5,2,1,1,lunarfe01,2001.0,0.275
6,1998,21,-1.6,Danville,CARL,A+,ATL,91,306,286,19,63,9,0,3,28,1,1,6,52,.220,.266,.283,.550,81,8,12,2,0,0,lunarfe01,2001.0,0.275
7,1999,22,-2.6,Greenville,SOUL,AA,ATL,105,367,343,33,77,15,1,3,35,0,1,12,64,.224,.275,.300,.575,103,7,12,0,0,5,lunarfe01,2001.0,0.275
10,2000,23,-1.2,Greenville,SOUL,AA,ATL,31,110,102,6,17,3,0,0,4,0,0,8,15,.167,.227,.196,.423,20,2,0,0,0,0,lunarfe01,2001.0,0.275
11,2000,23,-1.1,Bowie,EL,AA,BAL,22,89,80,12,23,7,1,0,8,0,0,6,8,.288,.360,.400,.760,32,4,3,0,0,0,lunarfe01,2001.0,0.275
1,1993,22,-0.7,Central Valley,CALL,A+,COL,21,85,73,16,21,1,0,0,7,5,0,10,15,.288,.381,.301,.682,22,2,1,1,0,0,joneste02,1998.0,0.29
2,1993,22,1.0,Bend,NORW,A-,COL,33,152,138,21,40,5,4,0,18,16,6,12,19,.290,.347,.384,.731,53,0,0,2,0,1,joneste02,1998.0,0.29
3,1994,23,0.4,Central Valley,CALL,A+,COL,129,590,536,94,157,20,1,2,34,44,12,42,85,.293,.345,.345,.690,185,12,1,10,1,1,joneste02,1998.0,0.29
4,1995,24,0.0,New Haven,EL,AA,COL,124,520,472,78,127,12,1,1,26,51,19,39,104,.269,.327,.305,.632,144,6,3,3,3,0,joneste02,1998.0,0.29
5,1996,25,-1.2,Colorado Springs,PCL,AAA,COL,128,541,497,75,143,7,4,0,33,26,14,37,80,.288,.337,.318,.655,158,5,1,4,2,3,joneste02,1998.0,0.29
7,1997,26,-0.5,Colorado Springs,PCL,AAA,COL,92,396,363,70,98,14,4,1,25,36,6,25,49,.270,.315,.339,.654,123,3,0,6,2,0,joneste02,1998.0,0.29
0,1994,21,0.1,Billings,PION,Rk,CIN,67,301,256,48,70,15,5,7,55,6,3,36,35,.273,.362,.453,.815,116,7,3,0,6,3,booneaa01,1998.0,0.346
2,1995,22,-2.0,Chattanooga,SOUL,AA,CIN,23,74,66,6,15,3,0,0,3,2,0,5,12,.227,.274,.273,.547,18,5,0,1,2,0,booneaa01,1998.0,0.346
3,1995,22,-0.5,Winston-Salem,CARL,A+,CIN,108,453,395,61,103,19,1,14,50,11,7,43,77,.261,.345,.420,.765,166,4,9,4,2,7,booneaa01,1998.0,0.346
4,1996,23,-0.9,Chattanooga,SOUL,AA,CIN,136,596,548,86,158,44,7,17,95,21,10,38,77,.288,.338,.487,.825,267,5,5,1,4,4,booneaa01,1998.0,0.346
5,1997,24,-2.0,Indianapolis,AA,AAA,CIN,131,523,476,79,138,30,4,22,75,12,4,40,81,.290,.344,.508,.853,242,11,1,3,3,3,booneaa01,1998.0,0.346
0,1991,18,-1.0,Blue Jays,GULF,Rk,TOR,53,208,191,29,40,5,4,0,10,7,2,12,41,.209,.267,.277,.544,53,3,3,2,0,0,gonzaal01,1995.0,0.329
1,1992,19,-2.2,Myrtle Beach,SALL,A,TOR,135,581,535,83,145,22,9,10,62,26,14,38,119,.271,.322,.402,.724,215,9,3,3,2,2,gonzaal01,1995.0,0.329
2,1993,20,-3.6,Knoxville,SOUL,AA,TOR,142,610,561,93,162,29,7,16,69,38,13,39,110,.289,.339,.451,.790,253,9,6,0,4,2,gonzaal01,1995.0,0.329
3,1994,21,-4.9,Syracuse,IL,AAA,TOR,110,497,437,69,124,22,4,12,57,23,6,53,92,.284,.361,.435,.796,190,9,1,4,2,1,gonzaal01,1995.0,0.329
0,1992,21,0.0,Bend,NORW,A-,,18,72,61,11,15,6,1,0,8,1,2,9,10,.246,.352,.377,.729,23,2,1,1,0,1,counscr01,1997.0,0.36
1,1993,22,-0.7,Central Valley,CALL,A+,COL,131,578,471,79,132,26,3,5,59,14,8,95,68,.280,.401,.380,.781,179,8,3,5,4,1,counscr01,1997.0,0.36
2,1994,23,-1.1,New Haven,EL,AA,COL,83,345,300,47,84,20,1,5,37,4,1,37,32,.280,.366,.403,.770,121,6,5,1,2,4,counscr01,1997.0,0.36
3,1995,24,-2.5,Colorado Springs,PCL,AAA,COL,118,444,399,60,112,22,6,5,53,10,2,34,47,.281,.336,.404,.739,161,12,2,3,6,7,counscr01,1997.0,0.36
5,1996,25,-1.2,Colorado Springs,PCL,AAA,COL,25,99,75,17,18,3,0,2,10,4,3,24,7,.240,.424,.360,.784,27,2,0,0,0,1,counscr01,1997.0,0.36
1,1987,21,-1.2,West Palm Beach,FLOR,A,MON,50,223,189,29,54,11,2,2,22,8,3,30,25,.286,.378,.397,.775,75,,0,1,3,0,vandejo02,1992.0,0.313
2,1987,21,0.4,Jamestown,NYPL,A-,MON,18,73,69,24,33,12,3,3,15,3,2,3,14,.478,.493,.870,1.363,60,,0,0,1,0,vandejo02,1992.0,0.313
4,1988,22,-1.7,Jacksonville,SOUL,AA,MON,58,227,208,22,54,14,0,3,14,3,4,17,49,.260,.317,.370,.687,77,,1,0,1,1,vandejo02,1992.0,0.313
5,1988,22,-0.1,West Palm Beach,FLOR,A,MON,62,272,231,50,64,15,2,10,33,11,4,32,40,.277,.368,.489,.857,113,0,3,3,3,2,vandejo02,1992.0,0.313
6,1989,23,-0.3,Jacksonville,SOUL,AA,MON,71,242,217,30,55,9,2,6,24,2,3,22,51,.253,.322,.396,.719,86,,1,0,2,1,vandejo02,1992.0,0.313
8,1990,24,-2.2,Indianapolis,AA,AAA,MON,51,148,135,16,40,6,0,2,14,0,1,13,28,.296,.358,.385,.743,52,,0,0,0,0,vandejo02,1992.0,0.313
9,1990,24,0.5,Jacksonville,SOUL,AA,MON,77,321,277,45,84,25,3,8,40,6,3,39,46,.303,.393,.502,.894,139,,3,0,2,2,vandejo02,1992.0,0.313
10,1991,25,-1.5,Indianapolis,AA,AAA,MON,133,564,478,84,140,36,8,15,71,8,1,79,118,.293,.393,.496,.888,237,10,2,1,4,4,vandejo02,1992.0,0.313
0,1994,22,3.2,Expos,GULF,Rk,MON,31,118,104,23,28,8,2,1,6,4,1,14,15,.269,.356,.413,.769,43,3,0,0,0,0,maciajo01,2000.0,0.33
1,1995,23,1.9,Vermont,NYPL,A-,MON,53,199,176,24,42,4,2,0,9,11,7,19,19,.239,.320,.284,.604,50,3,2,2,0,0,maciajo01,2000.0,0.33
2,1996,24,2.8,Delmarva,SALL,A,MON,116,440,369,64,91,13,4,1,33,38,15,56,48,.247,.353,.312,.665,115,2,6,7,2,1,maciajo01,2000.0,0.33
3,1997,25,2.4,Lakeland,FLOR,A+,DET,122,488,424,54,113,18,2,2,21,10,14,52,33,.267,.348,.333,.680,141,10,2,8,2,1,maciajo01,2000.0,0.33
4,1998,26,2.0,Jacksonville,SOUL,AA,DET,128,573,511,82,156,28,10,12,71,6,9,52,46,.305,.372,.470,.842,240,4,4,3,3,2,maciajo01,2000.0,0.33
5,1999,27,0.1,Toledo,IL,AAA,DET,112,485,438,44,107,18,8,2,36,10,5,36,60,.244,.306,.336,.642,147,8,4,5,2,0,maciajo01,2000.0,0.33
0,1992,20,1.0,Mariners,ARIZ,Rk,SEA,33,131,120,25,37,8,2,1,16,1,2,9,18,.308,.366,.433,.800,52,3,2,0,0,1,ibanera01,1999.0,0.339
2,1993,21,-0.6,Appleton,MIDW,A,SEA,52,185,157,26,43,9,0,5,21,0,2,24,31,.274,.370,.427,.796,67,2,1,1,2,2,ibanera01,1999.0,0.339
3,1993,21,0.0,Bellingham,NORW,A-,SEA,43,156,134,16,38,5,2,0,15,0,3,21,23,.284,.378,.351,.729,47,0,0,0,1,1,ibanera01,1999.0,0.339
